bufsize,1,2,3,4,5,6,7,8,9,10,average,median
1,5469.80,5537.87,5606.87,5560.44,5481.98,5627.13,5375.82,5575.49,5492.65,5516.63,5524.47,5527.25
10,5018.92,5125.37,4475.41,5128.38,5119.55,5229.10,5122.78,5144.65,5105.75,5139.00,5060.89,5124.07
20,4413.06,4391.11,4484.40,4429.17,4192.13,4353.71,4400.70,4337.28,4451.56,4395.83,4384.89,4398.26
30,3829.82,3905.32,3838.34,3841.60,3868.67,3893.99,3861.93,3886.79,3875.23,3844.52,3864.62,3865.3
40,3284.25,3305.41,3317.55,3288.33,2946.35,3317.81,3334.96,3346.80,3302.83,3309.96,3275.43,3307.68
50,2985.50,2986.84,3002.36,2988.84,2972.72,3001.89,2953.59,2964.25,2976.66,3039.69,2987.23,2986.17
60,2754.80,2709.19,2743.75,2704.12,2711.19,2765.37,2746.76,2754.93,2778.27,2737.56,2740.59,2745.26
70,2483.72,2444.52,2470.95,2456.63,2481.64,2474.28,2458.59,2468.70,2484.86,2465.46,2468.94,2469.82
80,2203.88,2046.78,2279.11,2269.93,2268.22,2253.52,2256.56,2267.65,2292.14,2169.94,2230.77,2262.11
90,2105.55,2149.46,2115.33,2125.53,2113.87,2111.86,2133.10,2083.55,2144.16,2138.44,2122.09,2120.43
100,1956.77,1977.13,1984.39,1966.32,1985.45,1980.20,1960.69,1940.22,1960.20,1947.49,1965.89,1963.51
