bufsize,1,2,3,4,5,6,7,8,9,10,average,median
1,6562.71,6417.23,6271.56,6530.29,6646.51,6480.67,6649.33,6498.93,6577.93,6527.78,6516.29,6529.03
10,6004.74,5867.31,6003.05,5856.10,6029.13,5914.87,5928.28,6016.16,5937.18,6133.95,5969.08,5970.11
20,4979.08,4897.30,5110.04,4980.40,5007.25,4992.01,4754.50,5094.63,4939.19,5118.77,4987.32,4986.2
30,4344.05,4448.53,4414.54,4426.23,4356.95,4356.95,4358.67,4200.55,4436.70,4419.19,4376.24,4386.6
40,3791.70,3747.64,3753.83,3720.00,3771.34,3723.81,3773.41,3820.60,3747.20,3797.01,3764.65,3762.59
50,3367.16,3389.01,3359.13,3362.76,3378.75,3334.49,3338.87,3392.96,3267.69,3384.40,3357.52,3364.96
60,3131.53,3138.18,3124.55,3120.55,3086.81,3105.46,3137.37,3110.54,3096.21,3130.88,3118.21,3122.55
70,2797.37,2708.29,2760.86,2777.00,2766.62,2463.50,2829.24,2793.82,2768.74,2767.50,2743.29,2768.12
80,2555.28,2563.54,2538.30,2490.82,2551.73,2530.12,2559.76,2558.24,2537.04,2544.61,2542.94,2548.17
90,2361.62,2357.24,2389.12,2387.07,2384.13,2390.38,2385.48,2389.91,2376.54,2289.09,2371.06,2384.81
100,2226.02,2210.51,2189.60,2211.72,2187.97,2162.34,2211.45,2230.21,2059.60,2222.92,2191.23,2210.98
