bufsize,1,2,3,4,5,6,7,8,9,10,average,median
1,8031.64,7984.13,7788.77,7308.82,8061.56,7799.03,7964.19,8075.42,8026.94,8071.12,7911.16,8005.53
10,7237.83,7213.16,5915.22,7259.42,7257.95,7053.40,6904.81,6867.14,7212.17,7258.76,7017.99,7212.66
20,5766.90,6190.59,6123.14,6180.93,6203.97,5536.29,6193.01,5742.16,6199.15,6215.10,6035.12,6185.76
30,5294.30,5234.85,5268.69,5235.14,5322.22,5312.00,5322.94,5274.07,5310.58,5154.11,5272.89,5284.18
40,4510.09,4521.68,4447.55,4461.69,4483.25,4207.03,4435.33,4492.11,4351.27,4510.53,4442.05,4472.47
50,3988.21,3781.65,4049.19,3986.91,3815.34,4039.45,3863.65,4021.23,3953.77,3753.63,3925.3,3970.34
60,3528.78,3523.32,3532.45,3565.08,3552.18,3531.38,3574.34,3475.98,3538.53,3561.76,3538.38,3535.49
70,3317.06,3325.42,3343.34,3337.46,3309.86,3353.25,3322.19,3334.54,3333.43,3339.24,3331.58,3333.98
80,3061.55,3047.42,2932.49,3075.35,3074.33,2770.52,3014.78,3087.14,3093.47,3045.47,3020.25,3054.49
90,2793.07,2758.89,2758.22,2769.17,2795.71,2804.09,2762.22,2769.31,2785.90,2795.53,2779.21,2777.61
100,2589.62,2581.91,2641.85,2645.39,2638.29,2620.11,2519.30,2629.09,2637.74,2511.52,2601.48,2624.6
