rec_count,1,2,3,4,5,average,median
5000,48.8252,48.5148,48.7987,48.7512,48.3235,48.6427,48.7512
10000,47.0848,47.6352,47.6118,47.1865,47.6923,47.4421,47.6118
20000,45.9327,45.8467,45.3028,46.8021,45.3931,45.8555,45.8467
40000,44.7657,44.4574,45.0994,44.7504,44.4384,44.7023,44.7504
60000,44.9392,44.0137,44.6188,43.7814,43.8025,44.2311,44.0137
80000,42.6000,43.8791,43.2661,43.5772,44.0498,43.4744,43.5772
100000,43.0514,42.6925,43.2361,43.2253,43.5779,43.1566,43.2253
120000,42.6965,42.3597,42.5049,42.9279,42.2031,42.5384,42.5049
140000,42.3077,41.7509,42.3446,41.6049,42.3614,42.0739,42.3077
160000,42.3998,41.8959,41.7088,41.9898,41.9257,41.984,41.9257
180000,42.4833,41.8242,41.7622,42.1168,41.5591,41.9491,41.8242
200000,41.7199,41.6527,41.6616,40.7617,42.1356,41.5863,41.6616
