rec_count,1,2,3,4,5,average,median
5000,49.9467,49.1536,49.8680,49.9171,49.1769,49.6125,49.8680
10000,48.9205,48.7268,48.2070,48.4449,48.7680,48.6134,48.7268
20000,46.8378,47.2545,46.9683,46.5262,47.5111,47.0196,46.9683
40000,45.8062,46.3950,45.6742,45.8763,45.9900,45.9483,45.8763
60000,44.7156,44.6780,45.3756,45.4842,44.6476,44.9802,44.7156
80000,44.7572,44.4249,44.2216,45.5429,44.5241,44.6941,44.5241
100000,43.6149,44.1880,43.3850,44.3542,44.8783,44.0841,44.1880
120000,43.0306,43.9773,44.5115,43.9449,42.6304,43.6189,43.9449
140000,42.7262,43.9210,42.1155,42.3633,42.4997,42.7251,42.4997
160000,43.7209,42.1741,42.5671,42.7628,43.7810,43.0012,42.7628
180000,42.1497,43.1125,42.4896,44.0877,43.2576,43.0194,43.1125
200000,42.0093,42.1540,41.8863,41.7900,42.0147,41.9709,42.0093
