rec_count,1,2,3,4,5,average,median
5000,54.3386,54.6720,54.5241,54.2852,54.7903,54.522,54.5241
10000,54.0855,54.0326,54.1855,54.0929,53.7955,54.0384,54.0855
20000,52.1438,52.3285,52.4337,52.7408,52.6659,52.4625,52.4337
40000,51.3576,50.6767,51.2870,51.5183,51.5619,51.2803,51.3576
60000,50.4863,50.5519,50.5876,50.4547,50.9864,50.6134,50.5519
80000,44.2406,44.1593,43.9733,44.1209,44.3439,44.1676,44.1593
100000,40.6908,40.9217,40.9143,40.7115,40.7908,40.8058,40.7908
120000,38.0747,37.7512,37.7414,38.0882,37.9747,37.926,37.9747
140000,35.8240,36.1132,36.1081,35.7990,35.9338,35.9556,35.9338
160000,34.6628,34.9321,34.8961,34.8003,34.8402,34.8263,34.8402
180000,36.3287,36.2464,36.2627,36.1186,35.9994,36.1912,36.2464
200000,33.3366,33.3686,33.3022,33.4155,33.2820,33.341,33.3366
