rec_count,1,2,3,4,5,average,median
5000,72.4260,72.4751,71.7597,72.0766,72.5238,72.2522,72.4260
10000,72.1690,71.8266,72.0286,72.1076,71.8749,72.0013,72.0286
20000,69.8484,70.1549,69.8896,69.8429,69.9572,69.9386,69.8896
40000,68.8052,69.2159,67.4931,68.6150,68.2455,68.4749,68.6150
60000,68.0970,66.9582,67.5210,67.3559,67.6281,67.512,67.5210
80000,67.3805,67.1603,67.3178,67.8299,67.4034,67.4184,67.3805
100000,67.1172,66.7494,65.8635,66.4295,67.0889,66.6497,66.7494
120000,66.8462,66.5132,66.8657,66.8459,66.6726,66.7487,66.8459
140000,65.4184,66.3809,66.1466,66.3089,66.2745,66.1059,66.2745
160000,66.3178,66.0773,65.9146,65.8030,65.8621,65.995,65.9146
180000,65.9714,66.0368,66.2434,66.2223,66.2994,66.1547,66.2223
200000,65.9651,65.6984,66.6487,66.3891,66.1461,66.1695,66.1461
